foamIndx,method
36.64,BM
39.65,BM
37.74,BM
35.96,BM
38.52,BM
21.02,BM
24.81,BM
34.18,BM
23.08,BM
70.84,HIP
46.68,HIP
73.19,HIP
57.78,HIP
48.61,HIP
72.77,HIP
65.04,HIP
62.53,HIP
54.26,HIP
56.19,IT
36.67,IT
35.35,IT
40.11,IT
33.52,IT
37.12,IT
37.33,IT
32.68,IT
48.33,IT
